"Source","Target","Type"
"Paul Maynard","Stmt, MPs vote ext (No)","Undirected"
"Sir Patrick McLoughlin","Stmt, MPs vote ext (No)","Undirected"
"Stephen McPartland","Stmt, MPs vote ext (No)","Undirected"
"Esther McVey","Stmt, MPs vote ext (No)","Undirected"
"Mark Menzies","Stmt, MPs vote ext (No)","Undirected"
"Johnny Mercer","Stmt, MPs vote ext (No)","Undirected"
"Huw Merriman","Stmt, MPs vote ext (No)","Undirected"
"Chris Stephens","Stmt, MPs vote ext (Aye)","Undirected"
"Stephen Metcalfe","Stmt, MPs vote ext (No)","Undirected"
"Mrs Maria Miller","Stmt, MPs vote ext (No)","Undirected"
"Amanda Milling","Stmt, MPs vote ext (No)","Undirected"
"Nigel Mills","Stmt, MPs vote ext (No)","Undirected"
"Anne Milton","Stmt, MPs vote ext (No)","Undirected"
"Mr Andrew Mitchell","Stmt, MPs vote ext (No)","Undirected"
"Damien Moore","Stmt, MPs vote ext (No)","Undirected"
"Penny Mordaunt","Stmt, MPs vote ext (No)","Undirected"
"Nicky Morgan","Stmt, MPs vote ext (No)","Undirected"
"Anne Marie Morris","Stmt, MPs vote ext (No)","Undirected"
"Jo Stevens","Stmt, MPs vote ext (Aye)","Undirected"
"David Morris","Stmt, MPs vote ext (No)","Undirected"
"James Morris","Stmt, MPs vote ext (No)","Undirected"
"Wendy Morton","Stmt, MPs vote ext (No)","Undirected"
"David Mundell","Stmt, MPs vote ext (No)","Undirected"
"Mrs Sheryll Murray","Stmt, MPs vote ext (No)","Undirected"
"Dr Andrew Murrison","Stmt, MPs vote ext (No)","Undirected"
"John Mann","Stmt, MPs vote ext (No)","Undirected"
"Jamie Stone","Stmt, MPs vote ext (Aye)","Undirected"
"Wes Streeting","Stmt, MPs vote ext (Aye)","Undirected"
"Mr Paul Sweeney","Stmt, MPs vote ext (Aye)","Undirected"
"Jo Swinson","Stmt, MPs vote ext (Aye)","Undirected"
"Mark Tami","Stmt, MPs vote ext (Aye)","Undirected"
"Alison Thewliss","Stmt, MPs vote ext (Aye)","Undirected"
"Gareth Thomas","Stmt, MPs vote ext (Aye)","Undirected"
"Chi Onwurah","Stmt, MPs vote ext (Aye)","Undirected"
"Nick Thomas-Symonds","Stmt, MPs vote ext (Aye)","Undirected"
"Emily Thornberry","Stmt, MPs vote ext (Aye)","Undirected"
"Stephen Timms","Stmt, MPs vote ext (Aye)","Undirected"
"Jon Trickett","Stmt, MPs vote ext (Aye)","Undirected"
"Anna Turley","Stmt, MPs vote ext (Aye)","Undirected"
"Karl Turner","Stmt, MPs vote ext (Aye)","Undirected"
"Derek Twigg","Stmt, MPs vote ext (Aye)","Undirected"
"Stephen Twigg","Stmt, MPs vote ext (Aye)","Undirected"
"Liz Twist","Stmt, MPs vote ext (Aye)","Undirected"
"Chuka Umunna","Stmt, MPs vote ext (Aye)","Undirected"
"Kate Osamor","Stmt, MPs vote ext (Aye)","Undirected"
"Mr Edward Vaizey","Stmt, MPs vote ext (Aye)","Undirected"
"Keith Vaz","Stmt, MPs vote ext (Aye)","Undirected"
"Valerie Vaz","Stmt, MPs vote ext (Aye)","Undirected"
"Thelma Walker","Stmt, MPs vote ext (Aye)","Undirected"
"Tom Watson","Stmt, MPs vote ext (Aye)","Undirected"
"Catherine West","Stmt, MPs vote ext (Aye)","Undirected"
"Matt Western","Stmt, MPs vote ext (Aye)","Undirected"
"Dr Alan Whitehead","Stmt, MPs vote ext (Aye)","Undirected"
"Martin Whitfield","Stmt, MPs vote ext (Aye)","Undirected"
"Dr Philippa Whitford","Stmt, MPs vote ext (Aye)","Undirected"
"Albert Owen","Stmt, MPs vote ext (Aye)","Undirected"
"Dr Paul Williams","Stmt, MPs vote ext (Aye)","Undirected"
"Hywel Williams","Stmt, MPs vote ext (Aye)","Undirected"
"Chris Williamson","Stmt, MPs vote ext (Aye)","Undirected"
"Phil Wilson","Stmt, MPs vote ext (Aye)","Undirected"
"Pete Wishart","Stmt, MPs vote ext (Aye)","Undirected"
"Dr Sarah Wollaston","Stmt, MPs vote ext (Aye)","Undirected"
"John Woodcock","Stmt, MPs vote ext (Aye)","Undirected"
"Mohammad Yasin","Stmt, MPs vote ext (Aye)","Undirected"
"Daniel Zeichner","Stmt, MPs vote ext (Aye)","Undirected"
"Louise Haigh","Stmt, MPs vote ext (Aye)","Undirected"
"Louise Haigh","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Healey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sarah Newton","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alex Norris","Stmt, amdd w/ind votes (Aye)","Undirected"
"Brendan O'Hara","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jared O'Mara","Stmt, amdd w/ind votes (Aye)","Undirected"
"Fiona Onasanya","Stmt, amdd w/ind votes (Aye)","Undirected"
"Melanie Onn","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chi Onwurah","Stmt, amdd w/ind votes (Aye)","Undirected"
"Kate Osamor","Stmt, amdd w/ind votes (Aye)","Undirected"
"Albert Owen","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mark Pawsey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir Mark Hendrick","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephanie Peacock","Stmt, amdd w/ind votes (Aye)","Undirected"
"Teresa Pearce","Stmt, amdd w/ind votes (Aye)","Undirected"
"Matthew Pennycook","Stmt, amdd w/ind votes (Aye)","Undirected"
"Toby Perkins","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jess Phillips","Stmt, amdd w/ind votes (Aye)","Undirected"
"Bridget Phillipson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Laura Pidcock","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jo Platt","Stmt, amdd w/ind votes (Aye)","Undirected"
"Luke Pollard","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephen Pound","Stmt, amdd w/ind votes (Aye)","Undirected"
"Drew Hendry","Stmt, amdd w/ind votes (Aye)","Undirected"
"Lucy Powell","Stmt, amdd w/ind votes (Aye)","Undirected"
"Yasmin Qureshi","Stmt, amdd w/ind votes (Aye)","Undirected"
"Faisal Rashid","Stmt, amdd w/ind votes (Aye)","Undirected"
"Angela Rayner","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Steve Reed","Stmt, amdd w/ind votes (Aye)","Undirected"
"Christina Rees","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ellie Reeves","Stmt, amdd w/ind votes (Aye)","Undirected"
"Rachel Reeves","Stmt, amdd w/ind votes (Aye)","Undirected"
"Emma Reynolds","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jonathan Reynolds","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mike Hill","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ms Marie Rimmer","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Geoffrey Robinson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Matt Rodda","Stmt, amdd w/ind votes (Aye)","Undirected"
"Danielle Rowley","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Ruane","Stmt, amdd w/ind votes (Aye)","Undirected"
"Lloyd Russell-Moyle","Stmt, amdd w/ind votes (Aye)","Undirected"
"Joan Ryan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Antoinette Sandbach","Stmt, amdd w/ind votes (Aye)","Undirected"
"Liz Saville Roberts","Stmt, amdd w/ind votes (Aye)","Undirected"
"Naz Shah","Stmt, amdd w/ind votes (Aye)","Undirected"
"Meg Hillier","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Virendra Sharma","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Barry Sheerman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tommy Sheppard","Stmt, amdd w/ind votes (Aye)","Undirected"
"Paula Sherriff","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Gavin Shuker","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tulip Siddiq","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Dennis Skinner","Stmt, amdd w/ind votes (Aye)","Undirected"
"Andy Slaughter","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ruth Smeeth","Stmt, amdd w/ind votes (Aye)","Undirected"
"Angela Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Wera Hobhouse","Stmt, amdd w/ind votes (Aye)","Undirected"
"Cat Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Eleanor Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Laura Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nick Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Owen Smith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Karin Smyth","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir Nicholas Soames","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alex Sobel","Stmt, amdd w/ind votes (Aye)","Undirected"
"Anna Soubry","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Spellar","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dame Margaret Hodge","Stmt, amdd w/ind votes (Aye)","Undirected"
"Keir Starmer","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Stephens","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jo Stevens","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Stevenson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jamie Stone","Stmt, amdd w/ind votes (Aye)","Undirected"
"Wes Streeting","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Paul Sweeney","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jo Swinson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mark Tami","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alison Thewliss","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mrs Sharon Hodgson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Gareth Thomas","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nick Thomas-Symonds","Stmt, amdd w/ind votes (Aye)","Undirected"
"Emily Thornberry","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephen Timms","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jon Trickett","Stmt, amdd w/ind votes (Aye)","Undirected"
"Anna Turley","Stmt, amdd w/ind votes (Aye)","Undirected"
"Karl Turner","Stmt, amdd w/ind votes (Aye)","Undirected"
"Derek Twigg","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephen Twigg","Stmt, amdd w/ind votes (Aye)","Undirected"
"Liz Twist","Stmt, amdd w/ind votes (Aye)","Undirected"
"Kate Hollern","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chuka Umunna","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Edward Vaizey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Keith Vaz","Stmt, amdd w/ind votes (Aye)","Undirected"
"Valerie Vaz","Stmt, amdd w/ind votes (Aye)","Undirected"
"Thelma Walker","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tom Watson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Catherine West","Stmt, amdd w/ind votes (Aye)","Undirected"
"Matt Western","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Alan Whitehead","Stmt, amdd w/ind votes (Aye)","Undirected"
"Martin Whitfield","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stewart Hosie","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Philippa Whitford","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Paul Williams","Stmt, amdd w/ind votes (Aye)","Undirected"
"Hywel Williams","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Williamson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Phil Wilson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Pete Wishart","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Sarah Wollaston","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Woodcock","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mohammad Yasin","Stmt, amdd w/ind votes (Aye)","Undirected"
"Daniel Zeichner","Stmt, amdd w/ind votes (Aye)","Undirected"
"Fabian Hamilton","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr George Howarth","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ms Diane Abbott","Stmt, amdd w/ind votes (Aye)","Undirected"
"Debbie Abrahams","Stmt, amdd w/ind votes (Aye)","Undirected"
"Rushanara Ali","Stmt, amdd w/ind votes (Aye)","Undirected"
"Heidi Allen","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Rosena Allin-Khan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mike Amesbury","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tonia Antoniazzi","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jonathan Ashworth","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Adrian Bailey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Hannah Bardell","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Rupa Huq","Stmt, amdd w/ind votes (Aye)","Undirected"
"Guto Bebb","Stmt, amdd w/ind votes (Aye)","Undirected"
"Margaret Beckett","Stmt, amdd w/ind votes (Aye)","Undirected"
"Hilary Benn","Stmt, amdd w/ind votes (Aye)","Undirected"
"Richard Benyon","Stmt, amdd w/ind votes (Aye)","Undirected"
"Luciana Berger","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Clive Betts","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mhairi Black","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ian Blackford","Stmt, amdd w/ind votes (Aye)","Undirected"
"Kirsty Blackman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Roberta Blackman-Woods","Stmt, amdd w/ind votes (Aye)","Undirected"
"Imran Hussain","Stmt, amdd w/ind votes (Aye)","Undirected"
"Paul Blomfield","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nick Boles","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tracy Brabin","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Ben Bradshaw","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tom Brake","Stmt, amdd w/ind votes (Aye)","Undirected"
"Kevin Brennan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Steve Brine","Stmt, amdd w/ind votes (Aye)","Undirected"
"Deidre Brock","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alan Brown","Stmt, amdd w/ind votes (Aye)","Undirected"
"Lyn Brown","Stmt, amdd w/ind votes (Aye)","Undirected"
"Christine Jardine","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Nicholas Brown","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Bryant","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ms Karen Buck","Stmt, amdd w/ind votes (Aye)","Undirected"
"Richard Burden","Stmt, amdd w/ind votes (Aye)","Undirected"
"Richard Burgon","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dawn Butler","Stmt, amdd w/ind votes (Aye)","Undirected"
"Liam Byrne","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir Vince Cable","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ruth Cadbury","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr Lisa Cameron","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dan Jarvis","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir Alan Campbell","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dan Carden","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Alistair Carmichael","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sarah Champion","Stmt, amdd w/ind votes (Aye)","Undirected"
"Douglas Chapman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jenny Chapman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Bambos Charalambous","Stmt, amdd w/ind votes (Aye)","Undirected"
"Joanna Cherry","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Kenneth Clarke","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ann Clwyd","Stmt, amdd w/ind votes (Aye)","Undirected"
"Diana Johnson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Vernon Coaker","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ann Coffey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Damian Collins","Stmt, amdd w/ind votes (Aye)","Undirected"
"Julie Cooper","Stmt, amdd w/ind votes (Aye)","Undirected"
"Yvette Cooper","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jeremy Corbyn","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alberto Costa","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ronnie Cowan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Neil Coyle","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir David Crausby","Stmt, amdd w/ind votes (Aye)","Undirected"
"Joseph Johnson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Angela Crawley","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mary Creagh","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stella Creasy","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jon Cruddas","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Cryer","Stmt, amdd w/ind votes (Aye)","Undirected"
"Judith Cummins","Stmt, amdd w/ind votes (Aye)","Undirected"
"Alex Cunningham","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Jim Cunningham","Stmt, amdd w/ind votes (Aye)","Undirected"
"Janet Daby","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nic Dakin","Stmt, amdd w/ind votes (Aye)","Undirected"
"Darren Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sir Edward Davey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Wayne David","Stmt, amdd w/ind votes (Aye)","Undirected"
"Geraint Davies","Stmt, amdd w/ind votes (Aye)","Undirected"
"Martyn Day","Stmt, amdd w/ind votes (Aye)","Undirected"
"Marsha De Cordova","Stmt, amdd w/ind votes (Aye)","Undirected"
"Gloria De Piero","Stmt, amdd w/ind votes (Aye)","Undirected"
"Thangam Debbonaire","Stmt, amdd w/ind votes (Aye)","Undirected"
"Emma Dent Coad","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Tanmanjeet Singh Dhesi","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Jonathan Djanogly","Stmt, amdd w/ind votes (Aye)","Undirected"
"Gerald Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Martin Docherty-Hughes","Stmt, amdd w/ind votes (Aye)","Undirected"
"Anneliese Dodds","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephen Doughty","Stmt, amdd w/ind votes (Aye)","Undirected"
"Peter Dowd","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dr David Drew","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jack Dromey","Stmt, amdd w/ind votes (Aye)","Undirected"
"Rosie Duffield","Stmt, amdd w/ind votes (Aye)","Undirected"
"Maria Eagle","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ms Angela Eagle","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jonathan Edwards","Stmt, amdd w/ind votes (Aye)","Undirected"
"Graham P Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Clive Efford","Stmt, amdd w/ind votes (Aye)","Undirected"
"Julie Elliott","Stmt, amdd w/ind votes (Aye)","Undirected"
"Dame Louise Ellman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Elmore","Stmt, amdd w/ind votes (Aye)","Undirected"
"Bill Esterson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Chris Evans","Stmt, amdd w/ind votes (Aye)","Undirected"
"Paul Farrelly","Stmt, amdd w/ind votes (Aye)","Undirected"
"Tim Farron","Stmt, amdd w/ind votes (Aye)","Undirected"
"Marion Fellows","Stmt, amdd w/ind votes (Aye)","Undirected"
"Jim Fitzpatrick","Stmt, amdd w/ind votes (Aye)","Undirected"
"David Hanson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Helen Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Yvonne Fovargue","Stmt, amdd w/ind votes (Aye)","Undirected"
"Vicky Foxcroft","Stmt, amdd w/ind votes (Aye)","Undirected"
"George Freeman","Stmt, amdd w/ind votes (Aye)","Undirected"
"James Frith","Stmt, amdd w/ind votes (Aye)","Undirected"
"Gill Furniss","Stmt, amdd w/ind votes (Aye)","Undirected"
"Hugh Gaffney","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mike Gapes","Stmt, amdd w/ind votes (Aye)","Undirected"
"Barry Gardiner","Stmt, amdd w/ind votes (Aye)","Undirected"
"Ruth George","Stmt, amdd w/ind votes (Aye)","Undirected"
"Stephen Gethins","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Kevan Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Patricia Gibson","Stmt, amdd w/ind votes (Aye)","Undirected"
"Preet Kaur Gill","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mary Glindon","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Roger Godsiff","Stmt, amdd w/ind votes (Aye)","Undirected"
"Helen Goodman","Stmt, amdd w/ind votes (Aye)","Undirected"
"Patrick Grady","Stmt, amdd w/ind votes (Aye)","Undirected"
"Peter Grant","Stmt, amdd w/ind votes (Aye)","Undirected"
"Neil Gray","Stmt, amdd w/ind votes (Aye)","Undirected"
"Damian Green","Stmt, amdd w/ind votes (Aye)","Undirected"
"Kate Green","Stmt, amdd w/ind votes (Aye)","Undirected"
"Sarah Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Justine Greening","Stmt, amdd w/ind votes (Aye)","Undirected"
"Lilian Greenwood","Stmt, amdd w/ind votes (Aye)","Undirected"
"Margaret Greenwood","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Dominic Grieve","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nia Griffith","Stmt, amdd w/ind votes (Aye)","Undirected"
"John Grogan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Andrew Gwynne","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Sam Gyimah","Stmt, amdd w/ind votes (Aye)","Undirected"
"Nigel Adams","Stmt, amdd w/ind votes (No)","Undirected"
"Bim Afolami","Stmt, amdd w/ind votes (No)","Undirected"
"Susan Elan Jones","Stmt, amdd w/ind votes (Aye)","Undirected"
"Adam Afriyie","Stmt, amdd w/ind votes (No)","Undirected"
"Peter Aldous","Stmt, amdd w/ind votes (No)","Undirected"
"Lucy Allan","Stmt, amdd w/ind votes (No)","Undirected"
"Sir David Amess","Stmt, amdd w/ind votes (No)","Undirected"
"Stuart Andrew","Stmt, amdd w/ind votes (No)","Undirected"
"Edward Argar","Stmt, amdd w/ind votes (No)","Undirected"
"Victoria Atkins","Stmt, amdd w/ind votes (No)","Undirected"
"Ian Austin","Stmt, amdd w/ind votes (No)","Undirected"
"Mr Richard Bacon","Stmt, amdd w/ind votes (No)","Undirected"
"Mrs Kemi Badenoch","Stmt, amdd w/ind votes (No)","Undirected"
"Mike Kane","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Steve Baker","Stmt, amdd w/ind votes (No)","Undirected"
"Harriett Baldwin","Stmt, amdd w/ind votes (No)","Undirected"
"Stephen Barclay","Stmt, amdd w/ind votes (No)","Undirected"
"Mr John Baron","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Kevin Barron","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Henry Bellingham","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Paul Beresford","Stmt, amdd w/ind votes (No)","Undirected"
"Jake Berry","Stmt, amdd w/ind votes (No)","Undirected"
"Bob Blackman","Stmt, amdd w/ind votes (No)","Undirected"
"Crispin Blunt","Stmt, amdd w/ind votes (No)","Undirected"
"Barbara Keeley","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Peter Bone","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Peter Bottomley","Stmt, amdd w/ind votes (No)","Undirected"
"Andrew Bowie","Stmt, amdd w/ind votes (No)","Undirected"
"Ben Bradley","Stmt, amdd w/ind votes (No)","Undirected"
"Karen Bradley","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Graham Brady","Stmt, amdd w/ind votes (No)","Undirected"
"Suella Braverman","Stmt, amdd w/ind votes (No)","Undirected"
"Jack Brereton","Stmt, amdd w/ind votes (No)","Undirected"
"Andrew Bridgen","Stmt, amdd w/ind votes (No)","Undirected"
"James Brokenshire","Stmt, amdd w/ind votes (No)","Undirected"
"Liz Kendall","Stmt, amdd w/ind votes (Aye)","Undirected"
"Fiona Bruce","Stmt, amdd w/ind votes (No)","Undirected"
"Robert Buckland","Stmt, amdd w/ind votes (No)","Undirected"
"Alex Burghart","Stmt, amdd w/ind votes (No)","Undirected"
"Conor Burns","Stmt, amdd w/ind votes (No)","Undirected"
"Alun Cairns","Stmt, amdd w/ind votes (No)","Undirected"
"Mr Gregory Campbell","Stmt, amdd w/ind votes (No)","Undirected"
"James Cartlidge","Stmt, amdd w/ind votes (No)","Undirected"
"Sir William Cash","Stmt, amdd w/ind votes (No)","Undirected"
"Maria Caulfield","Stmt, amdd w/ind votes (No)","Undirected"
"Alex Chalk","Stmt, amdd w/ind votes (No)","Undirected"
"Afzal Khan","Stmt, amdd w/ind votes (Aye)","Undirected"
"Rehman Chishti","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Christopher Chope","Stmt, amdd w/ind votes (No)","Undirected"
"Colin Clark","Stmt, amdd w/ind votes (No)","Undirected"
"Greg Clark","Stmt, amdd w/ind votes (No)","Undirected"
"Mr Simon Clarke","Stmt, amdd w/ind votes (No)","Undirected"
"James Cleverly","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Geoffrey Clifton-Brown","Stmt, amdd w/ind votes (No)","Undirected"
"Dr Thérèse Coffey","Stmt, amdd w/ind votes (No)","Undirected"
"Rosie Cooper","Stmt, amdd w/ind votes (No)","Undirected"
"Robert Courts","Stmt, amdd w/ind votes (No)","Undirected"
"Ged Killen","Stmt, amdd w/ind votes (Aye)","Undirected"
"Mr Geoffrey Cox","Stmt, amdd w/ind votes (No)","Undirected"
"Stephen Crabb","Stmt, amdd w/ind votes (No)","Undirected"
"Tracey Crouch","Stmt, amdd w/ind votes (No)","Undirected"
"Chris Davies","Stmt, amdd w/ind votes (No)","Undirected"
"David T. C. Davies","Stmt, amdd w/ind votes (No)","Undirected"
"Glyn Davies","Stmt, amdd w/ind votes (No)","Undirected"
"Mims Davies","Stmt, amdd w/ind votes (No)","Undirected"
"Philip Davies","Stmt, amdd w/ind votes (No)","Undirected"
"Mr David Davis","Stmt, amdd w/ind votes (No)","Undirected"
"Caroline Dinenage","Stmt, amdd w/ind votes (No)","Undirected"
"Stephen Kinnock","Stmt, amdd w/ind votes (Aye)","Undirected"
"Leo Docherty","Stmt, amdd w/ind votes (No)","Undirected"
"Nigel Dodds","Stmt, amdd w/ind votes (No)","Undirected"
"Sir Jeffrey M. Donaldson","Stmt, amdd w/ind votes (No)","Undirected"
"Ms Nadine Dorries","Stmt, amdd w/ind votes (No)","Undirected"
"Steve Double","Stmt, amdd w/ind votes (No)","Undirected"
"Oliver Dowden","Stmt, amdd w/ind votes (No)","Undirected"
"Jackie Doyle-Price","Stmt, amdd w/ind votes (No)","Undirected"
"Richard Drax","Stmt, amdd w/ind votes (No)","Undirected"
