"Id","Label","Type","TypeNumber","Party","Topic","VoteName"
"Paul Maynard","Paul Maynard","member",1,"Conservative","Member","Member"
"Steve McCabe","Steve McCabe","member",1,"Labour","Member","Member"
"Kerry McCarthy","Kerry McCarthy","member",1,"Labour","Member","Member"
"Siobhain McDonagh","Siobhain McDonagh","member",1,"Labour","Member","Member"
"Andy McDonald","Andy McDonald","member",1,"Labour","Member","Member"
"Stewart Malcolm McDonald","Stewart Malcolm McDonald","member",1,"Scottish National Party","Member","Member"
"Stuart C. McDonald","Stuart C. McDonald","member",1,"Scottish National Party","Member","Member"
"John McDonnell","John McDonnell","member",1,"Labour","Member","Member"
"Mr Pat McFadden","Mr Pat McFadden","member",1,"Labour","Member","Member"
"Conor McGinn","Conor McGinn","member",1,"Labour","Member","Member"
"Fiona Onasanya","Fiona Onasanya","member",1,"Independent","Member","Member"
"Alison McGovern","Alison McGovern","member",1,"Labour","Member","Member"
"Liz McInnes","Liz McInnes","member",1,"Labour","Member","Member"
"Catherine McKinnell","Catherine McKinnell","member",1,"Labour","Member","Member"
"Sir Patrick McLoughlin","Sir Patrick McLoughlin","member",1,"Conservative","Member","Member"
"Jim McMahon","Jim McMahon","member",1,"Labour (Co-op)","Member","Member"
"Anna McMorrin","Anna McMorrin","member",1,"Labour","Member","Member"
"John McNally","John McNally","member",1,"Scottish National Party","Member","Member"
"Stephen McPartland","Stephen McPartland","member",1,"Conservative","Member","Member"
"Esther McVey","Esther McVey","member",1,"Conservative","Member","Member"
"Ian Mearns","Ian Mearns","member",1,"Labour","Member","Member"
"Melanie Onn","Melanie Onn","member",1,"Labour","Member","Member"
"Mark Menzies","Mark Menzies","member",1,"Conservative","Member","Member"
"Johnny Mercer","Johnny Mercer","member",1,"Conservative","Member","Member"
"Huw Merriman","Huw Merriman","member",1,"Conservative","Member","Member"
"Edward Miliband","Edward Miliband","member",1,"Labour","Member","Member"
"Mrs Maria Miller","Mrs Maria Miller","member",1,"Conservative","Member","Member"
"Amanda Milling","Amanda Milling","member",1,"Conservative","Member","Member"
"Nigel Mills","Nigel Mills","member",1,"Conservative","Member","Member"
"Anne Milton","Anne Milton","member",1,"Conservative","Member","Member"
"Mr Andrew Mitchell","Mr Andrew Mitchell","member",1,"Conservative","Member","Member"
"Carol Monaghan","Carol Monaghan","member",1,"Scottish National Party","Member","Member"
"Chi Onwurah","Chi Onwurah","member",1,"Labour","Member","Member"
"Mrs Madeleine Moon","Mrs Madeleine Moon","member",1,"Labour","Member","Member"
"Damien Moore","Damien Moore","member",1,"Conservative","Member","Member"
"Layla Moran","Layla Moran","member",1,"Liberal Democrat","Member","Member"
"Penny Mordaunt","Penny Mordaunt","member",1,"Conservative","Member","Member"
"Jessica Morden","Jessica Morden","member",1,"Labour","Member","Member"
"Stephen Morgan","Stephen Morgan","member",1,"Labour","Member","Member"
"Anne Marie Morris","Anne Marie Morris","member",1,"Conservative","Member","Member"
"David Morris","David Morris","member",1,"Conservative","Member","Member"
"Grahame Morris","Grahame Morris","member",1,"Labour","Member","Member"
"James Morris","James Morris","member",1,"Conservative","Member","Member"
"Guy Opperman","Guy Opperman","member",1,"Conservative","Member","Member"
"David Mundell","David Mundell","member",1,"Conservative","Member","Member"
"Ian Murray","Ian Murray","member",1,"Labour","Member","Member"
"Mrs Sheryll Murray","Mrs Sheryll Murray","member",1,"Conservative","Member","Member"
"Ms Diane Abbott","Ms Diane Abbott","member",1,"Labour","Member","Member"
"Debbie Abrahams","Debbie Abrahams","member",1,"Labour","Member","Member"
"Nigel Adams","Nigel Adams","member",1,"Conservative","Member","Member"
"Bim Afolami","Bim Afolami","member",1,"Conservative","Member","Member"
"Peter Aldous","Peter Aldous","member",1,"Conservative","Member","Member"
"Rushanara Ali","Rushanara Ali","member",1,"Labour","Member","Member"
"Lucy Allan","Lucy Allan","member",1,"Conservative","Member","Member"
"Bob Blackman","Bob Blackman","member",1,"Conservative","Member","Member"
"Kate Osamor","Kate Osamor","member",1,"Labour (Co-op)","Member","Member"
"Heidi Allen","Heidi Allen","member",1,"Independent","Member","Member"
"Dr Rosena Allin-Khan","Dr Rosena Allin-Khan","member",1,"Labour","Member","Member"
"Mike Amesbury","Mike Amesbury","member",1,"Labour","Member","Member"
"Stuart Andrew","Stuart Andrew","member",1,"Conservative","Member","Member"
"Tonia Antoniazzi","Tonia Antoniazzi","member",1,"Labour","Member","Member"
"Edward Argar","Edward Argar","member",1,"Conservative","Member","Member"
"Jonathan Ashworth","Jonathan Ashworth","member",1,"Labour (Co-op)","Member","Member"
"Victoria Atkins","Victoria Atkins","member",1,"Conservative","Member","Member"
"Ian Austin","Ian Austin","member",1,"Independent","Member","Member"
"Mrs Kemi Badenoch","Mrs Kemi Badenoch","member",1,"Conservative","Member","Member"
"Albert Owen","Albert Owen","member",1,"Labour","Member","Member"
"Mr Adrian Bailey","Mr Adrian Bailey","member",1,"Labour (Co-op)","Member","Member"
"Mr Steve Baker","Mr Steve Baker","member",1,"Conservative","Member","Member"
"Harriett Baldwin","Harriett Baldwin","member",1,"Conservative","Member","Member"
"Stephen Barclay","Stephen Barclay","member",1,"Conservative","Member","Member"
"Hannah Bardell","Hannah Bardell","member",1,"Scottish National Party","Member","Member"
"Guto Bebb","Guto Bebb","member",1,"Conservative","Member","Member"
"Margaret Beckett","Margaret Beckett","member",1,"Labour","Member","Member"
"Sir Henry Bellingham","Sir Henry Bellingham","member",1,"Conservative","Member","Member"
"Hilary Benn","Hilary Benn","member",1,"Labour","Member","Member"
"Richard Benyon","Richard Benyon","member",1,"Conservative","Member","Member"
"Ian Paisley","Ian Paisley","member",1,"Democratic Unionist Party","Member","Member"
"Sir Paul Beresford","Sir Paul Beresford","member",1,"Conservative","Member","Member"
"Luciana Berger","Luciana Berger","member",1,"Independent","Member","Member"
"Jake Berry","Jake Berry","member",1,"Conservative","Member","Member"
"Mr Clive Betts","Mr Clive Betts","member",1,"Labour","Member","Member"
"Mhairi Black","Mhairi Black","member",1,"Scottish National Party","Member","Member"
"Ian Blackford","Ian Blackford","member",1,"Scottish National Party","Member","Member"
"Kirsty Blackman","Kirsty Blackman","member",1,"Scottish National Party","Member","Member"
"Dr Roberta Blackman-Woods","Dr Roberta Blackman-Woods","member",1,"Labour","Member","Member"
"Paul Blomfield","Paul Blomfield","member",1,"Labour","Member","Member"
"Crispin Blunt","Crispin Blunt","member",1,"Conservative","Member","Member"
"Priti Patel","Priti Patel","member",1,"Conservative","Member","Member"
"Mr Peter Bone","Mr Peter Bone","member",1,"Conservative","Member","Member"
"Sir Peter Bottomley","Sir Peter Bottomley","member",1,"Conservative","Member","Member"
"Andrew Bowie","Andrew Bowie","member",1,"Conservative","Member","Member"
"Tracy Brabin","Tracy Brabin","member",1,"Labour (Co-op)","Member","Member"
"Ben Bradley","Ben Bradley","member",1,"Conservative","Member","Member"
"Karen Bradley","Karen Bradley","member",1,"Conservative","Member","Member"
"Mr Ben Bradshaw","Mr Ben Bradshaw","member",1,"Labour","Member","Member"
"Tom Brake","Tom Brake","member",1,"Liberal Democrat","Member","Member"
"Suella Braverman","Suella Braverman","member",1,"Conservative","Member","Member"
"Kevin Brennan","Kevin Brennan","member",1,"Labour","Member","Member"
"Mr Owen Paterson","Mr Owen Paterson","member",1,"Conservative","Member","Member"
